85,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS
86,03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE"
87,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY
88,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL
89,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL
90,03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS
91,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL
92,04M409,COALITION SCHOOL FOR SOCIAL CHANGE
93,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS
94,04M495,PARK EAST HIGH SCHOOL
95,04M555,CENTRAL PARK EAST HIGH SCHOOL
96,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL
97,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL
98,04M680,"HERITAGE SCHOOL, THE"
99,05M285,HARLEM RENAISSANCE HIGH SCHOOL
100,05M304,MOTT HALL HIGH SCHOOL
101,05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING"
102,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL
103,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS
104,05M469,CHOIR ACADEMY OF HARLEM
105,05M499,FREDERICK DOUGLASS ACADEMY
106,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE
107,05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL
108,05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE"
109,06M293,CITY COLLEGE ACADEMY OF THE ARTS
110,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS
111,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL
112,06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION
113,06M457,GEORGE WASHINGTON YABC
114,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE
115,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS
116,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE
117,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES
118,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL
119,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS
120,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL
121,07X321,CROTONA ACADEMY HIGH SCHOOL
122,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL
123,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL
124,07X381,BRONX HAVEN HIGH SCHOOL
125,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE
126,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL
127,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL
128,07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE
129,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES
130,07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL
131,07X547,NEW EXPLORERS HIGH SCHOOL
132,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS
133,07X551,BRONX ACADEMY OF LETTERS
134,07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
135,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
136,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL
137,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS
138,08X282,WOMEN'S ACADEMY OF EXCELLENCE
139,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY
140,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY
141,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES
142,08X312,MILLENNIUM ART ACADEMY
